===== m2_t1.0_rig =====
E6* base: 56 admissible glues at m=2, index 686
t=1.0 index=686: deep-hole start d=0.5976143 diam=2.645751 (rigorous 2.645751, threshold sqrt7=2.645751)
  eval 1674: d=0.6585398 diam=2.627261 glue=(5, 2, 3) [241s]
    [heartbeat] 1680 evaluations, best 0.6585398, 242s
    [heartbeat] 1728 evaluations, best 0.6585398, 250s
  eval 1744: d=0.6591066 diam=2.627261 glue=(5, 2, 3) [252s]
  eval 1757: d=0.6597955 diam=2.627261 glue=(5, 2, 3) [254s]
  eval 1766: d=0.6599995 diam=2.627261 glue=(5, 2, 3) [256s]
  eval 1768: d=0.6600718 diam=2.627261 glue=(5, 2, 3) [256s]
  eval 1773: d=0.6605282 diam=2.627261 glue=(5, 2, 3) [257s]
    [heartbeat] 1776 evaluations, best 0.6605282, 258s
    [heartbeat] 1824 evaluations, best 0.6605282, 265s
  eval 1846: d=0.6607880 diam=2.627261 glue=(5, 2, 3) [269s]
    [heartbeat] 1872 evaluations, best 0.6607880, 273s
  eval 1875: d=0.6608027 diam=2.627261 glue=(5, 2, 3) [274s]
  eval 1887: d=0.6609606 diam=2.627261 glue=(5, 2, 3) [276s]
  eval 1899: d=0.6610305 diam=2.627261 glue=(5, 2, 3) [277s]
  eval 1909: d=0.6610424 diam=2.627261 glue=(5, 2, 3) [279s]
    [heartbeat] 1920 evaluations, best 0.6610424, 281s
  eval 1929: d=0.6610900 diam=2.627261 glue=(5, 2, 3) [282s]
  eval 1943: d=0.6611397 diam=2.627261 glue=(5, 2, 3) [284s]
    [heartbeat] 1968 evaluations, best 0.6611397, 288s
  eval 2008: d=0.6611952 diam=2.627261 glue=(5, 2, 3) [295s]
    [heartbeat] 2016 evaluations, best 0.6611952, 296s
  eval 2046: d=0.6612322 diam=2.627261 glue=(5, 2, 3) [301s]
  eval 2057: d=0.6612531 diam=2.627261 glue=(5, 2, 3) [302s]
  eval 2060: d=0.6613483 diam=2.627261 glue=(5, 2, 3) [303s]
    [heartbeat] 2064 evaluations, best 0.6613483, 303s
  eval 2091: d=0.6614211 diam=2.627261 glue=(5, 2, 3) [307s]
    [heartbeat] 2112 evaluations, best 0.6614211, 310s
  eval 2134: d=0.6614987 diam=2.627261 glue=(5, 2, 3) [314s]
    [heartbeat] 2160 evaluations, best 0.6614987, 317s
  eval 2199: d=0.6615007 diam=2.627261 glue=(5, 2, 3) [323s]
  eval 2201: d=0.6615506 diam=2.627261 glue=(5, 2, 3) [324s]
    [heartbeat] 2208 evaluations, best 0.6615506, 325s
  eval 2222: d=0.6615642 diam=2.627261 glue=(5, 2, 3) [327s]
  eval 2223: d=0.6615757 diam=2.627261 glue=(5, 2, 3) [327s]
    [heartbeat] 2256 evaluations, best 0.6615757, 332s
  eval 2271: d=0.6615760 diam=2.627261 glue=(5, 2, 3) [334s]
  eval 2288: d=0.6615801 diam=2.627261 glue=(5, 2, 3) [336s]
    [heartbeat] 2304 evaluations, best 0.6615801, 339s
  eval 2324: d=0.6615964 diam=2.627261 glue=(5, 2, 3) [342s]
  eval 2338: d=0.6616004 diam=2.627261 glue=(5, 2, 3) [344s]
    [heartbeat] 2352 evaluations, best 0.6616004, 346s
  eval 2361: d=0.6616437 diam=2.627261 glue=(5, 2, 3) [347s]
  eval 2373: d=0.6616710 diam=2.627261 glue=(5, 2, 3) [349s]
    [heartbeat] 2400 evaluations, best 0.6616710, 353s
  eval 2422: d=0.6616731 diam=2.627261 glue=(5, 2, 3) [356s]
  eval 2430: d=0.6616750 diam=2.627261 glue=(5, 2, 3) [357s]
